Title,Release_Date,Rating,No_of_Persons_Voted,Directed_by,Duration,Genres
The Queen,2006-09-30,7.7,149,Stephen Frears,1 h 43 m,Biography
Gett: The Trial of Viviane Amsalem,2015-02-13,7.6,42,"Ronit Elkabetz 
    
      Shlomi Elkabetz",1 h 55 m,Drama
I Called Him Morgan,2017-03-24,6.5,18,Kasper Collin,1 h 32 m,Documentary
All of Us Strangers,2023-12-22,8.2,142,Andrew Haigh,1 h 45 m,Drama
Close Encounters of the Third Kind,1977-11-16,7.8,279,Steven Spielberg,2 h 15 m,Drama
The Godfather: Part II,1974-12-12,9.1,1309,Francis Ford Coppola,3 h 20 m,Crime
Procession,2021-11-19,5.9,14,Robert Greene,1 h 56 m,Documentary
My Voyage to Italy,2001-10-19,7.5,15,Martin Scorsese,4 h 6 m,Documentary
Bloody Sunday,2002-10-04,7.9,34,Paul Greengrass,1 h 47 m,Drama
Blue Is the Warmest Color,2013-10-25,7.7,431,Abdellatif Kechiche,2 h 59 m,Drama
Phantom Thread,2017-12-25,7.7,574,Paul Thomas Anderson,2 h 10 m,Drama
American Splendor,2003-08-15,7.6,70,"Shari Springer Berman 
    
      Robert Pulcini",1 h 41 m,Biography
Gosford Park,2001-12-26,7.3,137,Robert Altman,2 h 17 m,Comedy
Wojnarowicz,2021-03-19,2.5,4,Chris McKim,1 h 45 m,Documentary
My Perestroika,2011-03-23,7.3,19,Robin Hessman,1 h 28 m,Documentary
Paths of the Soul,2016-05-13,5.2,16,Yang Zhang,1 h 55 m,Drama
The Souvenir: Part II,2021-10-29,6.2,26,Joanna Hogg,1 h 47 m,Drama
This Is Not a Film,2012-03-02,6.3,47,"Mojtaba Mirtahmasb 
    
      Jafar Panahi",1 h 15 m,Documentary
Finding Nemo,2003-05-30,8.6,1101,"Andrew Stanton 
    
      Lee Unkrich",1 h 40 m,Animation
Topsy-Turvy,1999-12-17,7.4,25,Mike Leigh,2 h 40 m,Biography
Small Axe: Mangrove,2020-11-20,8.4,85,Steve McQueen,2 h 4 m,Drama
Being John Malkovich,1999-10-29,8.7,554,Spike Jonze,1 h 52 m,Comedy
The Incredibles,2004-11-05,8.8,1355,Brad Bird,1 h 55 m,Animation
Green Border,2024-06-21,7.7,11,Agnieszka Holland,2 h 27 m,Drama
A Prophet,2010-02-26,8.4,172,Jacques Audiard,2 h 35 m,Crime
Almost Famous,2000-09-13,5.9,415,Cameron Crowe,2 h 2 m,Adventure
Oppenheimer,2023-07-21,8.5,1901,Christopher Nolan,3 h,Biography
Cold War,2018-12-21,8.0,192,Pawel Pawlikowski,1 h 29 m,Drama
The Truman Show,1998-06-05,6.8,1159,Peter Weir,1 h 43 m,Comedy
Once,2007-05-16,8.3,175,John Carney,1 h 25 m,Drama
Big Men,2014-03-14,7.4,10,Rachel Boynton,1 h 39 m,Documentary
Hannah and Her Sisters,1986-02-01,8.0,89,Woody Allen,1 h 43 m,Comedy
The Tale,2018-05-26,7.1,83,Jennifer Fox,1 h 54 m,Biography
Paterson,2016-12-28,7.8,225,Jim Jarmusch,1 h 58 m,Comedy
The Fits,2016-06-03,6.5,57,Anna Rose Holmer,1 h 12 m,Drama
Raging Bull,1980-11-14,7.1,599,Martin Scorsese,2 h 9 m,Biography
Eyes Without a Face [re-release],2003-10-31,7.7,45,Georges Franju,1 h 28 m,Drama
United 93,2006-04-28,7.4,201,Paul Greengrass,1 h 51 m,Action
Capturing the Friedmans,2003-05-30,7.4,37,Andrew Jarecki,1 h 47 m,Documentary
American Hustle,2013-12-13,7.3,1386,David O. Russell,2 h 18 m,Crime
The Passenger (re-release),2005-10-28,7.2,36,Michelangelo Antonioni,2 h 6 m,Drama
Star Wars: Episode IV - A New Hope,1977-05-25,8.8,2757,George Lucas,2 h 1 m,Action
Persepolis,2007-12-25,8.5,204,"Vincent Paronnaud 
    
      Marjane Satrapi",1 h 36 m,Animation
The Age of Innocence,1993-09-17,7.8,98,Martin Scorsese,2 h 19 m,Drama
The Deer Hunter,1978-12-08,7.7,266,Michael Cimino,3 h 2 m,Drama
Eternal Sunshine of the Spotless Mind,2004-03-19,8.7,1087,Michel Gondry,1 h 48 m,Drama
The Best of Youth,2005-03-02,7.3,63,Marco Tullio Giordana,3 h,Drama
The Overnighters,2014-10-10,7.0,15,Jesse Moss,1 h 42 m,Documentary
The Lives of Others,2006-12-01,8.4,285,Florian Henckel von Donnersmarck,2 h 17 m,Drama
House of Flying Daggers,2004-12-03,8.8,402,Yimou Zhang,1 h 59 m,Action
63 Up,2019-11-27,7.2,5,Michael Apted,3 h,Documentary
Minding the Gap,2018-08-17,8.2,59,Bing Liu,1 h 33 m,Documentary
Investigation of a Citizen Above Suspicion [re-release],2003-04-04,7.6,11,Elio Petri,1 h 52 m,Crime
Searching for Bobby Fischer,1993-08-11,7.2,32,Steven Zaillian,1 h 49 m,Biography
Whiplash,2014-10-10,8.8,1764,Damien Chazelle,1 h 47 m,Drama
"Two Days, One Night",2014-12-24,8.4,216,"Jean-Pierre Dardenne 
    
      Luc Dardenne",1 h 35 m,Drama
Killers of the Flower Moon,2023-10-20,7.6,500,Martin Scorsese,3 h 26 m,Crime
National Gallery,2014-11-05,8.3,4,Frederick Wiseman,3 h,Documentary
Assault on Precinct 13,1976-11-05,8.0,134,Jean-François Richet,1 h 49 m,Action
Assault on Precinct 13,2005-01-19,8.0,134,Jean-François Richet,1 h 49 m,Action
Man on Wire,2008-07-25,8.2,99,James Marsh,1 h 34 m,Documentary
Y Tu Mamá También,2002-03-15,6.5,224,Alfonso Cuarón,1 h 46 m,Drama
For Sama,2019-07-26,7.7,32,"Waad Al-Kateab 
    
      Edward Watts",1 h 40 m,Documentary
Elle,2016-11-11,7.2,262,Paul Verhoeven,2 h 10 m,Crime
Still Walking,2009-08-21,8.3,46,Hirokazu Koreeda,1 h 54 m,Drama
Gangs of Wasseypur,2015-01-16,8.5,77,Anurag Kashyap,5 h 21 m,Action
After Hours,1985-09-13,7.9,149,Martin Scorsese,1 h 37 m,Comedy
When the Levees Broke: A Requiem in Four Acts,2006-08-21,6.0,5,Spike Lee,4 h 15 m,Documentary
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006-11-03,7.9,629,Larry Charles,1 h 24 m,Comedy
Minari,2020-12-11,8.0,218,Lee Isaac Chung,1 h 55 m,Drama
Barry Lyndon,1975-12-18,8.5,119,Stanley Kubrick,3 h 4 m,Adventure
