Title,Release_Date,Rating,No_of_Persons_Voted,Directed_by,Duration,Genres
A Dog of Flanders,1999-08-27,5.3,4,Kevin Brodie,1 h 40 m,Family
Don't Say a Word,2001-09-28,8.1,56,Gary Fleder,1 h 53 m,Drama
The Medallion,2003-08-22,3.7,50,Gordon Chan,1 h 28 m,Action
Rugrats Go Wild,2003-06-13,6.0,30,"John Eng 
    
      Norton Virgien 
    
      Priit Pärn",1 h 20 m,Animation
Death to Smoochy,2002-03-29,7.1,33,Danny DeVito,1 h 49 m,Comedy
The Pink Panther,2006-02-10,5.9,83,Shawn Levy,1 h 33 m,Adventure
"Yours, Mine and Ours",2005-11-23,5.3,32,Raja Gosnell,1 h 30 m,Comedy
Brake,2012-03-23,5.0,15,Gabe Torres,1 h 32 m,Thriller
The Curse of Bridge Hollow,2022-10-14,5.4,14,Jeff Wadlow,1 h 29 m,Adventure
Third Person,2014-06-20,5.0,47,Paul Haggis,2 h 17 m,Drama
The Beyond,1983-11-11,4.5,0,Hasraf Dulull,1 h 43 m,Drama
Jurassic World Dominion,2022-06-10,4.9,466,Colin Trevorrow,2 h 27 m,Action
Role Play,2024-01-12,4.4,27,Thomas Vincent,1 h 40 m,Action
Crossing Over,2009-02-27,5.6,19,Wayne Kramer,1 h 53 m,Crime
Ben-Hur,2016-08-19,4.8,153,Timur Bekmambetov,2 h 5 m,Action
Midnight Sun,2018-03-23,5.7,35,Scott Speer,1 h 31 m,Drama
Porky's II: The Next Day,1983-06-24,5.6,8,Bob Clark,1 h 38 m,Comedy
Dad's Army,2016-02-05,5.7,23,Oliver Parker,1 h 40 m,Comedy
Tulip Fever,2017-09-01,4.6,41,Justin Chadwick,1 h 45 m,Drama
Murder Mystery,2019-06-14,5.4,149,Kyle Newacheck,1 h 37 m,Action
The Trouble with Bliss,2012-03-23,4.1,10,Michael Knowles,1 h 37 m,Comedy
Blade: Trinity,2004-12-08,3.0,310,David S. Goyer,1 h 53 m,Action
Kids in America,2005-10-21,7.5,6,Josh Stolberg,1 h 31 m,Comedy
I Am,2011-03-11,5.4,9,Tom Shadyac,1 h 16 m,Documentary
Cell,2016-07-08,3.6,63,Tod Williams,1 h 38 m,Action
Out for Justice,1991-04-12,6.3,8,John Flynn,1 h 31 m,Action
The Specials,2000-09-22,5.1,17,Craig Mazin,1 h 22 m,Action
Random Hearts,1999-10-08,5.3,22,Sydney Pollack,2 h 13 m,Drama
Little Nicky,2000-11-10,7.3,271,Steven Brill,1 h 30 m,Comedy
Final Destination 2,2003-01-31,4.3,499,David R. Ellis,1 h 30 m,Horror
Gothika,2003-11-21,6.6,91,Mathieu Kassovitz,1 h 38 m,Horror
The Adventures of Sharkboy and Lavagirl 3-D,2005-06-10,4.2,100,Robert Rodriguez,1 h 33 m,Action
Adore,2013-09-06,5.7,45,Anne Fontaine,1 h 40 m,Drama
Psychopaths,2017-12-01,4.0,4,Mickey Keating,1 h 25 m,Horror
The Addams Family 2,2021-10-01,4.0,42,"Conrad Vernon 
    
      Greg Tiernan",1 h 33 m,Animation
The Air I Breathe,2008-01-25,8.6,105,Jieho Lee,1 h 35 m,Crime
The Words,2012-09-07,6.6,105,"Brian Klugman 
    
      Lee Sternthal",1 h 37 m,Drama
Made of Honor,2008-05-02,5.4,38,Paul Weiland,1 h 41 m,Comedy
Paranormal Activity: Next of Kin,2021-10-29,6.1,34,William Eubank,2 h,Horror
Reindeer Games,2000-02-25,1.6,150,John Frankenheimer,1 h 44 m,Action
Amelia,2009-10-23,5.5,17,Mira Nair,1 h 51 m,Adventure
Mr. Church,2016-09-16,7.4,50,Bruce Beresford,1 h 44 m,Comedy
Kickboxer: Vengeance,2016-09-02,5.7,27,John Stockwell,1 h 30 m,Action
Family Switch,2023-11-30,8.5,114,McG,1 h 41 m,Comedy
Paper Man,2010-04-23,6.6,19,"Kieran Mulroney 
    
      Michele Mulroney",1 h 50 m,Comedy
Ace Ventura: Pet Detective,1994-02-04,6.9,270,Tom Shadyac,1 h 26 m,Comedy
Striptease,1996-06-28,4.8,20,Andrew Bergman,1 h 55 m,Comedy
Hotel Noir,2012-10-12,4.5,6,Sebastian Gutierrez,1 h 37 m,Crime
Dirty,2006-02-24,4.5,4,Chris Fisher,1 h 37 m,Crime
Papa: Hemingway in Cuba,2016-04-29,4.6,9,Bob Yari,1 h 50 m,Biography
Traffik,2018-04-20,4.3,25,Deon Taylor,1 h 36 m,Action
Forever Strong,2008-09-26,7.0,9,Ryan Little,1 h 52 m,Drama
Underdog,2007-08-03,4.7,39,Frederik Du Chau,1 h 24 m,Action
A Hole in One,2005-05-06,5.0,5,Richard Ledes,1 h 37 m,Comedy
The Last Legion,2007-08-17,4.6,33,Doug Lefler,1 h 42 m,Action
Knock Off,1998-09-04,5.1,21,Hark Tsui,1 h 31 m,Action
Annapolis,2006-01-27,6.6,20,Justin Lin,1 h 48 m,Drama
P2,2007-11-09,3.1,57,Franck Khalfoun,1 h 38 m,Crime
Autómata,2014-10-10,6.3,119,Gabe Ibáñez,1 h 49 m,Action
Baywatch,2017-05-25,4.8,313,Seth Gordon,1 h 56 m,Action
Another Gay Movie,2006-07-28,5.6,16,Todd Stephens,1 h 32 m,Comedy
The Secret Scripture,2017-10-13,7.4,18,"Jim Sheridan 
    
      Jim Sheridan",1 h 48 m,Drama
Ass Backwards,2013-11-08,3.2,5,Chris Nelson,1 h 30 m,Adventure
Flypaper,2011-08-19,6.6,37,Rob Minkoff,1 h 27 m,Comedy
The Delta Force,1986-02-14,5.5,11,Menahem Golan,2 h 5 m,Action
Anaconda,1997-04-11,6.2,398,Luis Llosa,1 h 29 m,Action
1911,2011-10-07,6.0,21,"Tao Hai 
    
      Wei Li 
    
      Guoqiang Tang 
    
      Li Zhang 
    
      Jackie Chan",2 h 5 m,Drama
Inescapable,2013-02-22,5.6,5,Ruba Nadda,1 h 33 m,Action
My Big Fat Greek Wedding 2,2016-03-25,5.4,75,Kirk Jones,1 h 34 m,Comedy
Freddy vs. Jason,2003-08-15,8.3,528,Ronny Yu,1 h 37 m,Action
Be Cool,2005-03-04,8.1,85,F. Gary Gray,1 h 58 m,Comedy
Brewster's Millions,1985-05-22,6.6,14,Walter Hill,1 h 42 m,Comedy
Resident Evil: Afterlife,2010-09-10,6.7,639,Paul W.S. Anderson,1 h 37 m,Action
Burying the Ex,2015-06-19,4.4,27,Joe Dante,1 h 29 m,Comedy
Judy Moody and the Not Bummer Summer,2011-06-10,4.3,27,John Schultz,1 h 31 m,Comedy
Son of God,2014-02-28,4.1,122,Christopher Spencer,2 h 18 m,Biography
The Tourist,2010-12-10,6.2,327,Florian Henckel von Donnersmarck,1 h 43 m,Action
The Living Wake,2010-05-14,4.5,4,Sol Tryon,1 h 31 m,Comedy
The Professor,2019-05-17,7.8,60,Wayne Roberts,1 h 30 m,Comedy
Riding the Bullet,2004-10-15,5.1,14,Mick Garris,1 h 38 m,Horror
What's the Worst That Could Happen?,2001-06-01,7.2,12,Sam Weisman,1 h 34 m,Comedy
Crocodile Dundee in Los Angeles,2001-04-20,5.2,21,Simon Wincer,1 h 32 m,Action
The Pact 2,2014-10-10,5.2,6,"Dallas Richard Hallam 
    
      Patrick Horvath",1 h 36 m,Horror
Atlas,2024-05-24,4.9,144,Brad Peyton,1 h 58 m,Action
xXx: State of the Union,2005-04-29,7.2,149,Lee Tamahori,1 h 41 m,Action
Wrath of the Titans,2012-03-30,5.2,353,Jonathan Liebesman,1 h 39 m,Action
The Lone Ranger,2013-07-03,6.4,701,Gore Verbinski,2 h 29 m,Action
Evan Almighty,2007-06-22,4.7,127,Tom Shadyac,1 h 36 m,Comedy
The Face of an Angel,2015-06-19,5.5,11,Michael Winterbottom,1 h 41 m,Crime
Waist Deep,2006-06-23,7.3,14,Vondie Curtis-Hall,1 h 37 m,Action
Seven Days in Utopia,2011-09-02,5.8,12,Matthew Dean Russell,2 h,Drama
Charlie St. Cloud,2010-07-30,5.2,57,Burr Steers,1 h 39 m,Drama
After the Dark,2014-02-07,5.3,39,John Huddles,1 h 47 m,Drama
Walking with Dinosaurs,2013-12-20,3.8,65,"Barry Cook 
    
      Neil Nightingale",1 h 27 m,Animation
Annabelle,2014-10-03,5.0,437,John R. Leonetti,1 h 39 m,Horror
Cold Comes the Night,2014-01-10,5.9,13,Tze Chun,1 h 30 m,Action
Miracle at St. Anna,2008-09-26,4.9,14,Spike Lee,2 h 40 m,Action
The Crew,2000-08-25,4.1,10,Michael Dinner,1 h 28 m,Comedy
Love Don't Cost a Thing,2003-12-12,8.5,16,Troy Byer,1 h 40 m,Comedy
The United States of Leland,2004-04-02,7.0,24,Matthew Ryan Hoge,1 h 48 m,Drama
Spy Kids: All the Time in the World,2011-08-19,2.9,108,Robert Rodriguez,1 h 29 m,Action
Trigger Warning,2024-06-21,3.5,29,Mouly Surya,1 h 46 m,Action
Are You Here,2014-08-22,5.8,13,Matthew Weiner,1 h 54 m,Comedy
All the King's Men,2006-09-22,6.7,21,Steven Zaillian,2 h 8 m,Drama
The Beverly Hillbillies,1993-10-15,5.1,10,Penelope Spheeris,1 h 32 m,Comedy
Fist Fight,2017-02-17,5.3,66,Richie Keen,1 h 31 m,Comedy
Haven,2006-09-15,5.7,6,Frank E. Flowers,1 h 55 m,Crime
"War, Inc.",2008-05-23,7.4,28,Joshua Seftel,1 h 47 m,Action
Mercury Rising,1998-04-03,6.0,22,Harold Becker,1 h 51 m,Action
Sex: The Annabel Chong Story,2000-02-11,1.1,9,Gough Lewis,1 h 26 m,Documentary
Fun Size,2012-10-26,5.6,38,Josh Schwartz,1 h 26 m,Adventure
A Life Less Ordinary,1997-10-24,5.9,44,Danny Boyle,1 h 43 m,Comedy
Analyze That,2002-12-06,5.5,55,Harold Ramis,1 h 36 m,Comedy
Garfield: A Tail of Two Kitties,2006-06-16,5.5,85,Tim Hill,1 h 18 m,Adventure
Dirty Girl,2011-10-07,8.0,25,Abe Sylvia,1 h 30 m,Comedy
The Samaritan,2012-05-18,4.3,16,David Weaver,1 h 30 m,Action
Jessabelle,2014-11-07,5.2,44,Kevin Greutert,1 h 30 m,Drama
Love Ranch,2010-06-30,8.5,17,Taylor Hackford,1 h 57 m,Biography
Shutter,2008-03-21,7.9,202,Masayuki Ochiai,1 h 25 m,Horror
The Golden Child,1986-12-12,6.8,19,Michael Ritchie,1 h 34 m,Action
The Nut Job,2014-01-17,4.2,108,Peter Lepeniotis,1 h 25 m,Animation
Battle: Los Angeles,2011-03-11,5.8,606,Jonathan Liebesman,1 h 52 m,Action
Red Notice,2021-11-05,5.8,365,Rawson Marshall Thurber,1 h 58 m,Action
Child's Play 2,1990-11-09,8.1,134,John Lafia,1 h 24 m,Horror
Cold Creek Manor,2003-09-19,7.5,49,Mike Figgis,1 h 58 m,Drama
Suspect Zero,2004-08-27,4.5,92,E. Elias Merhige,1 h 39 m,Crime
The Bye Bye Man,2017-01-13,3.1,91,Stacy Title,1 h 36 m,Drama
Only God Forgives,2013-07-19,7.8,575,Nicolas Winding Refn,1 h 30 m,Action
The Frozen Ground,2013-08-23,6.6,80,Scott Walker,1 h 45 m,Biography
The Country Bears,2002-07-26,5.8,10,Peter Hastings,1 h 28 m,Comedy
The Cloverfield Paradox,2018-02-04,5.3,481,Julius Onah,1 h 42 m,Action
The Girl King,2015-12-04,5.0,5,Mika Kaurismäki,1 h 46 m,Biography
The Story of Us,1999-10-15,5.7,11,Rob Reiner,1 h 35 m,Comedy
Ted Bundy,2002-09-13,4.9,9,Matthew Bright,1 h 39 m,Biography
You Got Served,2004-01-30,4.4,22,Chris Stokes,1 h 35 m,Drama
Cutthroat Island,1995-12-22,6.5,21,Renny Harlin,2 h 4 m,Action
The Possession of Hannah Grace,2018-11-30,4.9,60,Diederik Van Rooijen,1 h 26 m,Horror
Speed Racer,2008-05-09,7.9,209,"Lana Wachowski 
    
      Lilly Wachowski",2 h 15 m,Action
W.E.,2011-12-09,6.9,105,Madonna,1 h 55 m,Drama
The Out-Laws,2023-07-07,4.0,22,Tyler Spindel,1 h 35 m,Action
The Night Flier,1998-02-06,5.3,8,Mark Pavia,1 h 34 m,Fantasy
Seven Pounds,2008-12-19,6.8,161,Gabriele Muccino,2 h 3 m,Drama
Mainstream,2021-05-07,4.5,24,Gia Coppola,1 h 34 m,Comedy
Steal This Movie,2000-08-18,3.8,4,Robert Greenwald,1 h 47 m,Biography
Three to Tango,1999-10-22,8.0,33,Damon Santostefano,1 h 38 m,Comedy
Little Black Book,2004-08-06,8.4,59,Nick Hurran,1 h 51 m,Comedy
Poolhall Junkies,2003-02-28,3.8,4,Mars Callahan,1 h 39 m,Comedy
He's All That,2021-08-27,2.9,48,Mark Waters,1 h 28 m,Comedy
3-D Sex and Zen: Extreme Ecstasy,2011-08-12,5.8,6,Christopher Sun,2 h 9 m,Comedy
Bravetown,2015-05-08,4.1,7,Daniel Duran,1 h 52 m,Drama
Paris-Manhattan,2013-04-12,4.5,4,Sophie Lellouche,1 h 17 m,Comedy
Rebound,2005-07-01,4.9,13,Steve Carr,1 h 43 m,Comedy
After.Life,2010-04-09,8.3,145,Agnieszka Wojtowicz-Vosloo,1 h 44 m,Drama
Color of Night,1994-08-19,6.1,10,Richard Rush,2 h 1 m,Drama
Tooth Fairy,2010-01-22,4.8,62,Michael Lembeck,1 h 41 m,Comedy
Against the Ropes,2004-02-20,1.3,42,Charles S. Dutton,1 h 51 m,Biography
Bird on a Wire,1990-05-18,5.5,25,John Badham,1 h 50 m,Action
Returner,2003-10-17,6.6,7,Takashi Yamazaki,1 h 56 m,Action
Inspector Gadget,1999-07-23,4.2,65,David Kellogg,1 h 18 m,Action
Jeepers Creepers II,2003-08-29,7.9,214,Victor Salva,1 h 44 m,Horror
Biker Boyz,2003-01-31,5.6,9,Reggie Rock Bythewood,1 h 50 m,Action
A Man Apart,2003-04-04,5.4,43,F. Gary Gray,1 h 49 m,Action
Last Love,2013-11-01,5.6,10,Sandra Nettelbeck,1 h 56 m,Comedy
Damascus Cover,2018-07-20,6.6,10,Daniel Zelik Berk,1 h 33 m,Mystery
Shanghai,2015-10-02,6.1,8,Mikael Håfström,1 h 45 m,Crime
War,2007-08-24,8.4,167,Philip G. Atwell,1 h 43 m,Action
My Spy: The Eternal City,2024-07-18,4.5,6,Peter Segal,1 h 51 m,Action
Employee of the Month,2006-10-06,5.4,30,Greg Coolidge,1 h 43 m,Comedy
Sherlock Gnomes,2018-03-23,4.4,54,John Stevenson,1 h 26 m,Animation
The Unholy,2021-04-02,4.7,55,Evan Spiliotopoulos,1 h 39 m,Drama
The Canyons,2013-08-02,5.8,49,Paul Schrader,1 h 39 m,Drama
Space Jam: A New Legacy,2021-07-16,3.4,491,Malcolm D. Lee,1 h 55 m,Animation
Kedma,2003-02-07,2.4,12,Amos Gitai,1 h 40 m,Drama
Thunderbirds,2004-07-30,5.1,26,Jonathan Frakes,1 h 35 m,Action
Hard Rain,1998-01-16,5.7,32,Mikael Salomon,1 h 37 m,Action
Amy's Orgasm,2002-08-23,7.6,32,Julie Davis,1 h 27 m,Comedy
Big Fat Liar,2002-02-08,7.7,102,Shawn Levy,1 h 28 m,Adventure
Victor Frankenstein,2015-11-25,5.5,128,Paul McGuigan,1 h 50 m,Drama
Lotus Eaters,2013-04-05,7.3,7,Alexandra McGuinness,1 h 18 m,Drama
Resident Evil: Apocalypse,2004-09-10,6.9,399,Alexander Witt,1 h 34 m,Action
Goodbye World,2014-04-04,5.1,9,Denis Henry Hennelly,1 h 39 m,Comedy
The Jackal,1997-11-14,6.6,213,Michael Caton-Jones,2 h 4 m,Action
Diary of a Mad Black Woman,2005-02-25,5.5,19,Darren Grant,1 h 56 m,Comedy
Are We Done Yet?,2007-04-04,3.7,42,Steve Carr,1 h 32 m,Comedy
Space Chimps,2008-07-18,4.7,55,Kirk DeMicco,1 h 21 m,Animation
El Cortez,2006-10-06,5.3,4,Stephen Purvis,1 h 34 m,Drama
The Son of No One,2011-11-04,4.6,28,Dito Montiel,1 h 35 m,Action
Underworld: Evolution,2006-01-20,8.4,425,Len Wiseman,1 h 46 m,Action
The Art of Getting By,2011-06-17,6.4,59,Gavin Wiesen,1 h 24 m,Drama
Three O'Clock High,1987-10-09,7.8,5,Phil Joanou,1 h 37 m,Comedy
Sex Tape,2014-07-18,3.1,220,Jake Kasdan,1 h 34 m,Comedy
Gone,2012-02-24,5.7,80,Heitor Dhalia,1 h 34 m,Action
Body Shots,1999-10-22,7.7,15,Michael Cristofer,1 h 46 m,Drama
3 Ninjas,1992-08-07,5.6,14,Jon Turteltaub,1 h 24 m,Action
Pan,2015-10-09,5.1,222,Joe Wright,1 h 51 m,Action
Parental Guidance,2012-12-25,5.1,94,Andy Fickman,1 h 45 m,Comedy
Poms,2019-05-10,6.4,17,Zara Hayes,1 h 30 m,Comedy
The Secret of My Succe$s,1987-04-10,7.4,9,Herbert Ross,1 h 51 m,Comedy
Righteous Kill,2008-09-12,4.9,56,Jon Avnet,1 h 41 m,Crime
The Wild Life,2016-09-09,3.4,21,"Vincent Kesteloot 
    
      Mimi Maynard",1 h 31 m,Animation
I'm Reed Fish,2007-06-01,5.5,4,Zackary Adler,1 h 33 m,Comedy
My Name Is Bruce,2008-10-31,5.9,16,Bruce Campbell,1 h 26 m,Comedy
6 Days,2017-08-18,6.9,31,Toa Fraser,1 h 34 m,Action
Assassin's Creed,2016-12-21,5.9,1118,Justin Kurzel,1 h 55 m,Action
Fly Me to the Moon 3D,2008-08-15,6.4,13,"Ben Stassen 
    
      Mimi Maynard",1 h 24 m,Animation
Cradle 2 the Grave,2003-02-28,7.9,81,Andrzej Bartkowiak,1 h 41 m,Action
Special Correspondents,2016-04-29,5.4,36,Ricky Gervais,1 h 41 m,Comedy
Solace,2016-12-16,6.0,40,Afonso Poyart,1 h 41 m,Crime
The Karate Kid Part III,1989-06-30,5.5,38,John G. Avildsen,1 h 52 m,Action
Lady in the Water,2006-07-21,4.5,129,M. Night Shyamalan,1 h 50 m,Drama
That Awkward Moment,2014-01-31,5.5,116,Tom Gormican,1 h 34 m,Comedy
Death Sentence,2007-08-31,8.2,148,James Wan,1 h 45 m,Action
Serena,2015-03-27,5.0,52,Susanne Bier,1 h 49 m,Drama
Party Monster,2003-09-05,5.5,12,"Fenton Bailey 
    
      Randy Barbato",1 h 38 m,Biography
Captain Corelli's Mandolin,2001-08-17,6.9,19,John Madden,2 h 11 m,Drama
Runner Runner,2013-10-04,5.5,109,Brad Furman,1 h 31 m,Crime
Harley Davidson and the Marlboro Man,1991-08-23,7.8,4,Simon Wincer,1 h 38 m,Action
The Perfect Guy,2015-09-11,6.4,60,David M. Rosenthal,1 h 40 m,Drama
The Nut Job 2: Nutty by Nature,2017-08-11,4.1,42,Cal Brunker,1 h 31 m,Animation
Action Jackson,1988-02-12,6.5,8,Craig R. Baxley,1 h 36 m,Action
Forever My Girl,2018-01-19,6.1,27,Bethany Ashton Wolf,1 h 48 m,Comedy
Dickie Roberts: Former Child Star,2003-09-05,5.7,14,Sam Weisman,1 h 38 m,Comedy
Lucy in the Sky,2019-10-04,4.4,29,Noah Hawley,2 h 4 m,Drama
The Watch,2012-07-27,5.6,202,Akiva Schaffer,1 h 42 m,Comedy
Feel the Noise,2007-10-05,5.0,78,Alejandro Chomski,1 h 26 m,Drama
Sound of Freedom,2023-07-04,7.6,333,Alejandro Monteverde,2 h 15 m,Biography
Turistas,2006-12-01,8.6,163,John Stockwell,1 h 33 m,Horror
Action Point,2018-06-01,4.2,34,Tim Kirkby,1 h 25 m,Comedy
Alpha and Omega,2010-09-17,5.9,80,"Anthony Bell 
    
      Ben Gluck",1 h 28 m,Animation
Serious Moonlight,2009-12-04,5.0,8,Cheryl Hines,1 h 24 m,Comedy
College Road Trip,2008-03-07,5.7,18,Roger Kumble,1 h 23 m,Adventure
Big Sky,2015-08-14,4.6,10,Jorge Michel Grau,1 h 30 m,Drama
The Thirteenth Floor,1999-05-28,2.8,155,Josef Rusnak,1 h 40 m,Mystery
The Reaping,2007-04-05,6.6,92,Stephen Hopkins,1 h 39 m,Horror
Dumb and Dumber To,2014-11-14,5.4,353,"Bobby Farrelly 
    
      Peter Farrelly",1 h 49 m,Comedy
I Am Number Four,2011-02-18,6.0,346,D.J. Caruso,1 h 51 m,Action
The Pink Panther 2,2009-02-06,5.7,57,Harald Zwart,1 h 32 m,Action
What Happens in Vegas,2008-05-09,5.5,64,Tom Vaughan,1 h 39 m,Comedy
The Kissing Booth 3,2021-08-11,2.7,14,Vince Marcello,1 h 52 m,Comedy
Something Borrowed,2011-05-06,5.1,53,Luke Greenfield,1 h 53 m,Comedy
The Invisible,2007-04-27,6.5,21,David S. Goyer,1 h 42 m,Crime
A Promise,2014-04-18,2.6,5,Patrice Leconte,1 h 38 m,Drama
Rambo III,1988-05-25,6.1,161,Peter MacDonald,1 h 42 m,Action
Father of Invention,2011-10-14,2.3,22,Trent Cooper,1 h 33 m,Comedy
That Darn Cat,1997-02-14,2.5,4,Bob Spiers,1 h 29 m,Action
Revenge of the Green Dragons,2014-10-24,6.7,12,"Andrew Lau 
    
      Andrew Loo",1 h 34 m,Action
No Such Thing,2002-03-29,7.6,12,Hal Hartley,1 h 42 m,Comedy
Stolen Summer,2002-03-01,8.1,8,Pete Jones,1 h 31 m,Drama
Tales From the Crypt Presents Bordello of Blood,1996-08-16,6.4,13,Gilbert Adler,1 h 27 m,Comedy
The Next Karate Kid,1994-09-09,5.8,42,Christopher Cain,1 h 47 m,Action
Naked Singularity,2021-08-06,3.9,12,Chase Palmer,1 h 33 m,Comedy
We'll Never Have Paris,2015-01-22,2.8,4,"Simon Helberg 
    
      Jocelyn Towne",1 h 32 m,Comedy
Johnny Mnemonic,1995-05-26,4.6,13,Robert Longo,1 h 43 m,Action
Tarot,2024-05-03,4.6,63,"Spenser Cohen 
    
      Anna Halberg",1 h 32 m,Horror
License to Drive,1988-07-06,6.6,8,Greg Beeman,1 h 28 m,Comedy
Saw IV,2007-10-26,6.4,232,Darren Lynn Bousman,1 h 33 m,Horror
Can't Buy Me Love,1987-08-14,7.5,8,Steve Rash,1 h 34 m,Comedy
The Fly II,1989-02-10,4.4,21,Chris Walas,1 h 45 m,Drama
Push,2009-02-06,7.1,135,Paul McGuigan,1 h 51 m,Action
Why Stop Now,2012-08-17,6.2,11,"Phil Dorling 
    
      Ron Nyswaner",1 h 25 m,Comedy
Kin,2018-08-31,4.9,42,"Jonathan Baker 
    
      Josh Baker",1 h 42 m,Action
Rupture,2017-04-28,5.0,13,Steven Shainberg,1 h 42 m,Horror
Blumhouse's Truth or Dare,2018-04-13,4.2,154,Jeff Wadlow,1 h 40 m,Horror
Camera Obscura,2017-06-09,6.0,5,Hamlet Sarkissian,1 h 39 m,Crime
Contracted: Phase II,2015-09-04,5.8,18,Josh Forbes,1 h 18 m,Drama
Universal Soldier,1992-07-10,7.2,72,Roland Emmerich,1 h 42 m,Action
Knights of the Zodiac,2023-05-12,3.2,43,Tomasz Baginski,1 h 52 m,Action
Love's Labour's Lost,2000-06-09,6.6,7,Kenneth Branagh,1 h 33 m,Romance
The Huntsman: Winter's War,2016-04-22,5.2,211,Cedric Nicolas-Troyan,1 h 54 m,Action
Grudge Match,2013-12-25,6.4,111,Peter Segal,1 h 53 m,Comedy
My Big Fat Greek Wedding 3,2023-09-08,4.2,19,Nia Vardalos,1 h 32 m,Comedy
Resident Evil,2002-03-15,7.3,520,Paul W.S. Anderson,1 h 40 m,Action
Mute,2018-02-23,5.2,146,Duncan Jones,2 h 6 m,Mystery
Masters of the Universe,1987-08-07,5.0,44,Gary Goddard,1 h 46 m,Action
Inner Demons,2014-10-03,5.3,4,Seth Grossman,1 h 25 m,Horror
Genie,2023-11-22,4.9,15,Sam Boyd,1 h 33 m,Comedy
Teaching Mrs. Tingle,1999-08-20,0.9,146,Kevin Williamson,1 h 36 m,Comedy
Awake,2021-06-09,5.0,63,Joby Harold,1 h 24 m,Crime
Awake,2007-11-30,5.0,63,Joby Harold,1 h 24 m,Crime
My Blue Heaven,1990-08-17,6.8,13,Herbert Ross,1 h 37 m,Comedy
Stealth,2005-07-29,5.9,36,Rob Cohen,2 h 1 m,Action
For Greater Glory,2012-06-01,7.3,37,Dean Wright,2 h 25 m,Drama
Star Wars: The Clone Wars,2008-08-15,5.9,381,Dave Filoni,1 h 38 m,Animation
Venom,2018-10-05,5.5,32,Jim Gillespie,1 h 25 m,Horror
Venom,2005-09-16,5.5,32,Jim Gillespie,1 h 25 m,Horror
Home Sweet Home Alone,2021-11-12,1.7,95,Dan Mazer,1 h 33 m,Comedy
Jumper,2008-02-14,8.2,494,Doug Liman,1 h 28 m,Action
Birth of the Dragon,2017-08-25,4.5,30,George Nolfi,1 h 35 m,Action
Rumor Has It...,2005-12-25,4.1,44,Rob Reiner,1 h 37 m,Comedy
Argylle,2024-02-02,3.6,284,Matthew Vaughn,2 h 19 m,Action
Salvation Boulevard,2011-07-15,5.8,5,George Ratliff,1 h 36 m,Comedy
The Hustle,2019-05-10,3.9,101,Chris Addison,1 h 33 m,Comedy
Transformers: Revenge of the Fallen,2009-06-24,4.9,845,Michael Bay,2 h 30 m,Action
Bollywood/Hollywood,2003-09-26,2.0,7,Deepa Mehta,1 h 45 m,Romance
Pet Sematary II,1992-08-28,2.9,40,Mary Lambert,1 h 40 m,Fantasy
Two Can Play That Game,2001-09-07,7.6,5,Mark Brown,1 h 30 m,Comedy
Hide and Seek,2005-01-28,8.3,279,John Polson,1 h 41 m,Horror
Very Good Girls,2014-07-25,5.1,18,Naomi Foner,1 h 31 m,Drama
Mrs. Winterbourne,1996-04-19,7.5,4,Richard Benjamin,1 h 45 m,Comedy
Gone in Sixty Seconds,2000-06-09,7.9,339,Dominic Sena,1 h 58 m,Action
A Walk to Remember,2002-01-25,8.1,222,Adam Shankman,1 h 41 m,Drama
My Mother,2005-05-13,0.7,60,Christophe Honoré,1 h 50 m,Drama
Halloween II (2009),2009-08-28,4.0,136,Rob Zombie,1 h 45 m,Horror
Event Horizon,1997-08-15,7.9,347,Paul W.S. Anderson,1 h 36 m,Horror
Mansome,2012-05-18,5.9,16,Morgan Spurlock,1 h 22 m,Documentary
Post Grad,2009-08-21,5.8,10,Vicky Jenson,1 h 28 m,Comedy
One True Loves,2023-04-07,2.3,4,Andy Fickman,1 h 40 m,Comedy
Van Helsing,2004-05-07,6.3,268,Stephen Sommers,2 h 11 m,Action
St. Elmo's Fire,1985-06-28,6.3,14,Joel Schumacher,1 h 50 m,Drama
Rape Me,2001-06-01,0.6,126,"Virginie Despentes 
    
      Coralie Trinh Thi",1 h 17 m,Crime
The Forsaken,2001-04-27,7.1,234,J.S. Cardone,1 h 30 m,Action
A Rumor of Angels,2002-02-01,5.5,4,Peter O'Fallon,1 h 46 m,Drama
Ghosts of Mars,2001-08-24,7.5,171,John Carpenter,1 h 38 m,Action
The Babysitters,2008-05-09,4.9,19,David Ross,1 h 28 m,Drama
Certifiably Jonathan,2011-02-11,5.3,4,James David Pasternak,1 h 25 m,Documentary
Identity Thief,2013-02-08,5.0,219,Seth Gordon,1 h 51 m,Comedy
Man of the House,2005-02-25,5.4,20,Stephen Herek,1 h 40 m,Comedy
Flakes,2007-12-19,7.6,5,Michael Lehmann,1 h 24 m,Comedy
Deal,2008-04-25,4.8,6,Gil Cates Jr.,1 h 26 m,Comedy
Morbius,2022-04-01,6.6,954,Daniel Espinosa,1 h 44 m,Action
The Hurricane Heist,2018-03-09,4.4,47,Rob Cohen,1 h 43 m,Action
Once Upon a Crime...,1992-03-06,6.8,4,Eugene Levy,1 h 34 m,Comedy
Manny,2015-01-23,4.6,9,"Leon Gast 
    
      Ryan Moore",1 h 28 m,Documentary
Everly,2015-02-27,6.4,52,Joe Lynch,1 h 32 m,Action
